,book_id,count,mean,title,ratings,cover_image,mod_title,adjusted_count,score
384,6,7,5.0,The Fault in Our Stars,11264,https://images.gr-assets.com/books/1360206420m/11870085.jpg,thefaultinourstars,0.004350142045454545,0.021750710227272724
367,561,8,5.0,The Phantom Tollbooth,2587,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,thephantomtollbooth,0.024739080015461924,0.12369540007730961
365,559,5,5.0,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,2516,https://images.gr-assets.com/books/1497218117m/32261.jpg,tessofthedurbervillesapurewomanfaithfullypresented,0.009936406995230525,0.049682034976152624
346,512,5,5.0,The Complete Tales of Edgar Allan Poe,2212,https://images.gr-assets.com/books/1327942676m/23919.jpg,thecompletetalesofedgarallanpoe,0.011301989150090416,0.05650994575045208
344,51,8,5.0,City of Bones,6504,https://images.gr-assets.com/books/1432730315m/256683.jpg,cityofbones,0.00984009840098401,0.04920049200492005
308,427,6,5.0,The Importance of Being Earnest,2831,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,theimportanceofbeingearnest,0.012716354645001766,0.06358177322500883
306,424,6,5.0,Il nome della rosa,2910,https://images.gr-assets.com/books/1415375471m/119073.jpg,ilnomedellarosa,0.012371134020618558,0.061855670103092786
304,422,6,5.0,Complete Harry Potter Boxed Set,1915,https://images.gr-assets.com/books/1392579059m/862041.jpg,completeharrypotterboxedset,0.018798955613577025,0.09399477806788513
120,181,8,5.0,In Cold Blood,4467,https://images.gr-assets.com/books/1424931136m/168642.jpg,incoldblood,0.014327289008282965,0.07163644504141482
250,337,7,5.0,The Ultimate Hitchhiker's Guide: Five Complete Novels and One Story,3270,https://images.gr-assets.com/books/1404613595m/13.jpg,theultimatehitchhikersguidefivecompletenovelsandonestory,0.014984709480122324,0.07492354740061162
83,153,6,5.0,City of Ashes,4415,https://images.gr-assets.com/books/1432730356m/1582996.jpg,cityofashes,0.008154020385050961,0.040770101925254806
68,137,9,5.0,Outlander,5297,https://images.gr-assets.com/books/1402600310m/10964.jpg,outlander,0.015291674532754389,0.07645837266377195
25,115,7,5.0,Middlesex,5615,https://images.gr-assets.com/books/1437029776m/2187.jpg,middlesex,0.008726625111308993,0.043633125556544965
72,142,7,5.0,The Pillars of the Earth,5672,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,thepillarsoftheearth,0.008638928067700988,0.04319464033850494
48,126,3,5.0,Dune,5864,https://images.gr-assets.com/books/1434908555m/234225.jpg,dune,0.0015347885402455662,0.007673942701227831
104,168,8,5.0,The Stand,5973,https://images.gr-assets.com/books/1213131305m/149267.jpg,thestand,0.010714883643060438,0.05357441821530219
9,104,7,5.0,The Road,6779,https://images.gr-assets.com/books/1439197219m/6288.jpg,theroad,0.007228204749963121,0.03614102374981561
82,150,8,5.0,The Red Tent,5358,https://s.gr-assets.com/assets/nophoto/book/111x148-bcc042a9c91a29c1d680899eff700a03.png,theredtent,0.011944755505785741,0.059723777528928705
36,12,7,5.0,Divergent,11780,https://images.gr-assets.com/books/1328559506m/13335037.jpg,divergent,0.004159592529711375,0.020797962648556875
64,134,5,5.0,City of Glass,4451,https://images.gr-assets.com/books/1369452339m/3777732.jpg,cityofglass,0.005616715344866322,0.028083576724331608
2,100,12,4.916666666666667,The Poisonwood Bible,6343,https://images.gr-assets.com/books/1412242487m/7244.jpg,thepoisonwoodbible,0.022702191392085763,0.11161910767775501
